file_name,PA_length,PA_diameter,Node_nb,SA_nb,SA_average,SA_int,TA_nb,TA_average,TA_int,QA_nb,Sp_nb,SA,SA_length,node,TA_nb,Sp_nb,SA_int,TA,TA_length,QA_nb,Sp_nb,TA_int,QA,QA_length,Sp_nb,QA_int
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA1,12.44,1,5,31,0,SA1_TA1,3.48,0,6,0.7,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA1,12.44,1,5,31,0,SA1_TA2,2.09,0,3,1.39,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA1,12.44,1,5,31,0,SA1_TA3,2.85,0,5,2.81,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA1,12.44,1,5,31,0,SA1_TA4,2.22,0,4,4.43,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA1,12.44,1,5,31,0,SA1_TA5,1.42,0,4,7.34,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA2,11.97,2,6,0,2.65,SA2_TA1,2.48,0,5,0.72,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA2,11.97,2,6,0,2.65,SA2_TA2,1.65,0,2,1.35,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA2,11.97,2,6,0,2.65,SA2_TA3,3.18,0,5,2.54,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA2,11.97,2,6,0,2.65,SA2_TA4,2.21,0,4,4.22,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA2,11.97,2,6,0,2.65,SA2_TA5,2.07,0,4,5.81,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA2,11.97,2,6,0,2.65,SA2_TA6,1.46,0,3,6.88,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA3,11.38,3,5,25,0.27,SA3_TA1,2.25,0,3,0.33,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA3,11.38,3,5,25,0.27,SA3_TA2,1.8,0,6,1.1,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA3,11.38,3,5,25,0.27,SA3_TA3,2.05,0,4,2.86,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA3,11.38,3,5,25,0.27,SA3_TA4,2.07,0,5,4.22,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA3,11.38,3,5,25,0.27,SA3_TA5,1.4,0,3,5.55,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA4,12.29,4,5,33,0.99,SA4_TA1,3.01,0,5,1.12,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA4,12.29,4,5,33,0.99,SA4_TA2,2.98,0,6,1.67,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA4,12.29,4,5,33,0.99,SA4_TA3,2.84,0,5,3.69,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA4,12.29,4,5,33,0.99,SA4_TA4,2.15,0,4,5.5,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA4,12.29,4,5,33,0.99,SA4_TA5,2.29,0,4,6.54,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA5,13.01,5,5,31,1.66,SA5_TA1,3.27,0,5,0.67,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA5,13.01,5,5,31,1.66,SA5_TA2,3.06,0,5,2.29,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA5,13.01,5,5,31,1.66,SA5_TA3,2.72,0,4,4.33,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA5,13.01,5,5,31,1.66,SA5_TA4,2.25,0,4,5.87,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA5,13.01,5,5,31,1.66,SA5_TA5,2.12,0,4,7.22,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA6,11.71,6,5,24,1.6,SA6_TA1,1.97,0,5,1.37,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA6,11.71,6,5,24,1.6,SA6_TA2,2.44,0,2,2.59,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA6,11.71,6,5,24,1.6,SA6_TA3,2.64,0,4,4.07,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA6,11.71,6,5,24,1.6,SA6_TA4,1.83,0,3,5.5,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA6,11.71,6,5,24,1.6,SA6_TA5,1.44,0,3,6.55,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA7,11.69,7,5,27,2.02,SA7_TA1,3.54,0,7,0.37,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA7,11.69,7,5,27,2.02,SA7_TA2,3.03,0,0,2.55,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA7,11.69,7,5,27,2.02,SA7_TA3,2.68,0,5,4.46,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA7,11.69,7,5,27,2.02,SA7_TA4,2.27,0,4,5.74,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA7,11.69,7,5,27,2.02,SA7_TA5,1.67,0,0,6.87,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA8,10.58,8,4,24,1.18,SA8_TA1,2.42,0,4,0.83,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA8,10.58,8,4,24,1.18,SA8_TA2,2.38,0,4,2.2,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA8,10.58,8,4,24,1.18,SA8_TA3,2.74,0,5,3.97,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA8,10.58,8,4,24,1.18,SA8_TA4,1.53,0,3,5.49,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA9,9.7,9,4,21,2.92,SA9_TA1,2.54,0,0,0.57,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA9,9.7,9,4,21,2.92,SA9_TA2,2.48,0,5,2.37,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA9,9.7,9,4,21,2.92,SA9_TA3,1.98,0,4,3.86,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA9,9.7,9,4,21,2.92,SA9_TA4,0.7,0,2,8.94,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA10,8.86,10,4,17,1.67,SA10_TA1,0.18,1,0,0.29,SA10_TA1_QA1,2.7,4,0.18
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA10,8.86,10,4,17,1.67,SA10_TA2,2.88,0,5,1.67,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA10,8.86,10,4,17,1.67,SA10_TA3,1.75,0,3,3.15,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA10,8.86,10,4,17,1.67,SA10_TA4,1.61,0,3,4.33,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA11,7.02,11,3,18,1.42,SA11_TA1,2.54,0,5,1.73,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA11,7.02,11,3,18,1.42,SA11_TA2,2.01,0,4,2.89,NV,NV,NV,NV
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297,SA11,7.02,11,3,18,1.42,SA11_TA3,1.47,0,3,3.93,NV,NV,NV,NV

13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA1,10.89,1,3,20,0,SA1_TA1,1.89,0,6,2.69,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA1,10.89,1,3,20,0,SA1_TA2,2.16,0,4,4.36,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA1,10.89,1,3,20,0,SA1_TA3,0.86,0,1,6.3,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA2,10.06,2,3,15,2.8,SA2_TA1,2.2,0,0,3.12,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA2,10.06,2,3,15,2.8,SA2_TA2,1.6,0,3,4.5,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA2,10.06,2,3,15,2.8,SA2_TA3,1.67,0,3,5.67,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA3,13.65,3,6,17,0.42,SA3_TA1,2.07,0,5,0.31,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA3,13.65,3,6,17,0.42,SA3_TA2,2.3,0,3,0.77,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA3,13.65,3,6,17,0.42,SA3_TA3,0.0,0,0,3.01,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA3,13.65,3,6,17,0.42,SA3_TA4,2.41,0,3,3.81,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA3,13.65,3,6,17,0.42,SA3_TA5,2.34,0,2,2.17,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA3,13.65,3,6,17,0.42,SA3_TA6,1.71,0,3,4.92,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA4,11.87,4,5,25,0.6,SA4_TA1,3.15,0,5,1.18,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA4,11.87,4,5,25,0.6,SA4_TA2,2.51,0,4,2.75,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA4,11.87,4,5,25,0.6,SA4_TA3,1.68,0,4,4.93,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA4,11.87,4,5,25,0.6,SA4_TA4,1.95,0,3,5.74,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA4,11.87,4,5,25,0.6,SA4_TA5,1.55,0,3,6.89,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA5,11.34,5,4,0,1.66,SA5_TA1,2.41,0,3,0.64,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA5,11.34,5,4,0,1.66,SA5_TA2,2.26,0,4,2.39,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA5,11.34,5,4,0,1.66,SA5_TA3,2.15,0,4,4.38,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA5,11.34,5,4,0,1.66,SA5_TA4,1.65,0,3,5.45,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA6,12.44,6,4,22,1.62,SA6_TA1,3.16,0,5,1.16,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA6,12.44,6,4,22,1.62,SA6_TA2,3.31,0,5,3.29,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA6,12.44,6,4,22,1.62,SA6_TA3,1.79,0,2,5.13,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA6,12.44,6,4,22,1.62,SA6_TA4,1.41,0,3,6.27,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA7,10.7,7,4,0,2.29,SA7_TA1,3.16,0,6,0.34,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA7,10.7,7,4,0,2.29,SA7_TA2,2.64,0,3,2.38,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA7,10.7,7,4,0,2.29,SA7_TA3,1.97,0,4,4.09,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA7,10.7,7,4,0,2.29,SA7_TA4,1.6,0,3,5.47,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA8,9.89,8,3,14,1.81,SA8_TA1,2.5,0,4,2.51,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA8,9.89,8,3,14,1.81,SA8_TA2,1.68,0,3,4.28,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA8,9.89,8,3,14,1.81,SA8_TA3,1.6,0,1,5.42,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA9,3.54,8,1,8,0.0,SA9_TA1,0.8,0,3,0.61,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA10,8.86,9,3,20,1.66,SA10_TA1,3.08,0,5,1.75,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA10,8.86,9,3,20,1.66,SA10_TA2,2.53,0,5,3.31,NV,NV,NV,NV
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193,SA10,8.86,9,3,20,1.66,SA10_TA3,1.48,0,3,4.7,NV,NV,NV,NV

13_2_1_1_3_DSC01482,11.59,0.86,8,9.0,11.16,1.45,37.0,2.47,0.37,0.0,221,SA1,10.79,1,3,0,0,SA1_TA1,1.55,0,2,2.62,NV,NV,NV,NV
