file_name,Sp_nb,Sp_length,Sp_width,Sp_area,Sp_primeter,Sp_circularity,Sp_compactness, Sp_ellipticity, Sp_AR
13_2_1_1_1_DSC01478,297,0.43,0.25,5.35,1.17,0.8,0.86,0.98,1.7
13_2_1_1_2_DSC01480,193,0.47,0.25,5.98,1.26,0.78,0.83,0.98,1.82
13_2_1_1_3_DSC01482,221,0.43,0.24,5.28,1.17,0.8,0.86,0.98,1.72
13_2_1_2_1_DSC01495,245,0.45,0.25,5.61,1.21,0.79,0.85,0.98,1.78
13_2_1_2_2_DSC01493,246,0.42,0.24,5.23,1.17,0.8,0.86,0.98,1.73
13_2_1_2_3_DSC01491,237,0.45,0.25,5.63,1.21,0.8,0.85,0.98,1.77
13_2_1_3_1_DSC01484,232,0.41,0.24,5.02,1.14,0.8,0.86,0.98,1.72
13_2_1_3_2_DSC01486,237,0.43,0.25,5.42,1.18,0.8,0.86,0.98,1.73
13_2_1_3_3_DSC01488,237,0.44,0.24,5.55,1.21,0.79,0.84,0.98,1.8
16_2_2_2_1_DSC03034,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_2_1_1_3_DSC09839,208,0.51,0.26,6.91,1.37,0.76,0.8,0.97,1.93
40_2_2_1_1_DSC01095,213,0.46,0.26,6.04,1.27,0.77,0.83,0.96,1.74
40_2_2_1_2_DSC01097,196,0.49,0.26,6.26,1.3,0.76,0.81,0.96,1.84
40_2_2_1_3_DSC01099,132,0.45,0.25,5.74,1.24,0.76,0.82,0.95,1.77
40_2_2_2_1_DSC01089,153,0.43,0.26,5.71,1.19,0.82,0.87,0.97,1.58
40_2_2_2_2_DSC01091,160,0.44,0.26,5.85,1.22,0.8,0.87,0.96,1.6
40_2_2_2_3_DSC01093,189,0.46,0.27,6.22,1.27,0.8,0.86,0.97,1.65
40_2_2_3_1_DSC01083,142,0.44,0.26,5.88,1.22,0.81,0.87,0.97,1.61
40_2_2_3_2_DSC01085,140,0.47,0.27,6.35,1.29,0.78,0.84,0.96,1.72
40_2_2_3_3_DSC01087,171,0.47,0.25,5.89,1.26,0.76,0.81,0.96,1.83
41_2_2_1_1_DSC00230,283,0.47,0.25,6.01,1.28,0.76,0.82,0.96,1.83
42_2_1_1_1_DSC01717,143,0.55,0.27,7.57,1.44,0.73,0.77,0.95,1.95
42_2_1_1_2_DSC01719,87,0.53,0.28,7.51,1.39,0.77,0.82,0.96,1.76
42_2_1_1_3_DSC01715,98,0.58,0.26,7.83,1.48,0.71,0.74,0.94,2.09
42_2_1_2_1_DSC01724,76,0.5,0.27,6.82,1.33,0.78,0.83,0.96,1.74
42_2_1_2_2_DSC01726,99,0.6,0.26,8.15,1.54,0.7,0.73,0.95,2.19
42_2_1_2_3_DSC01722,74,0.58,0.27,7.95,1.49,0.71,0.74,0.94,1.98
42_2_1_3_1_DSC01729,156,0.5,0.27,7.0,1.35,0.79,0.84,0.97,1.77
42_2_1_3_2DSC01731,93,0.51,0.28,7.19,1.36,0.78,0.83,0.97,1.78
42_2_1_3_3_DSC01733,131,0.56,0.27,7.67,1.47,0.73,0.78,0.96,2.0
42_2_2_1_1_DSC01687,123,0.51,0.28,7.16,1.37,0.79,0.83,0.97,1.76
42_2_2_1_2_DSC01689,133,0.49,0.27,6.74,1.32,0.78,0.83,0.97,1.76
42_2_2_1_3_DSC01695,109,0.56,0.26,7.51,1.45,0.73,0.77,0.96,2.03
42_2_2_2_1_DSC01685,88,0.5,0.27,6.81,1.32,0.78,0.83,0.97,1.78
42_2_2_2_2_DSC01691,101,0.56,0.27,7.58,1.44,0.74,0.78,0.96,1.99
42_2_2_2_3_DSC01693,120,0.53,0.28,7.58,1.41,0.78,0.82,0.97,1.81
42_2_2_3_1_DSC01697,116,0.54,0.28,7.54,1.42,0.77,0.81,0.97,1.86
42_2_2_3_2_DSC01699,104,0.54,0.28,7.68,1.44,0.76,0.8,0.96,1.9
42_2_2_3_3_DSC01701,95,0.55,0.25,7.17,1.42,0.72,0.75,0.96,2.09
47_2_1_1_1_DSC01297,287,0.41,0.25,5.15,1.15,0.8,0.87,0.97,1.61
47_2_1_1_2_DSC01299,263,0.39,0.27,5.11,1.12,0.85,0.92,0.98,1.43
