file_name,PA_length,PA_diameter,Node_nb,SA_nb,SA_average,SA_int,TA_nb,TA_average,TA_int,QA_nb,Sp_nb
13_2_1_1_1_DSC01478,16.38,0.42,11,11.0,10.97,1.64,51.0,2.24,0.17,1.0,297
13_2_1_1_2_DSC01480,12.85,0.52,9,10.0,10.32,1.43,36.0,2.03,0.4,0.0,193
13_2_1_1_3_DSC01482,11.59,0.86,8,9.0,11.16,1.45,37.0,2.47,0.37,0.0,221
13_2_1_2_1_DSC01495,14.02,0.42,8,9.0,10.86,1.75,44.0,2.6,0.13,0.0,245
13_2_1_2_2_DSC01493,12.12,0.84,8,9.0,11.94,1.52,43.0,2.56,0.33,0.0,246
13_2_1_2_3_DSC01491,12.74,0.52,7,8.0,11.97,1.82,41.0,2.63,0.12,2.0,237
13_2_1_3_1_DSC01484,12.38,0.86,7,9.0,11.25,1.55,38.0,2.45,0.3,1.0,232
13_2_1_3_2_DSC01486,13.2,0.86,6,8.0,11.88,1.88,40.0,2.35,0.12,5.0,237
13_2_1_3_3_DSC01488,12.92,0.86,10,10.0,10.09,1.44,40.0,2.21,0.3,1.0,237
16_2_2_2_1_DSC03034,7.03,0.88,4,4.0,8.74,2.34,4.0,2.08,0.7,0.0,30
2_2_1_1_3_DSC09839,12.25,0.7,7,15.0,10.46,0.88,33.0,1.94,0.54,0.0,208
40_2_2_1_1_DSC01095,13.14,0.84,9,13.0,10.23,1.1,52.0,2.04,0.34,0.0,213
40_2_2_1_2_DSC01097,14.88,0.84,11,12.0,9.2,1.35,43.0,1.94,0.41,0.0,196
40_2_2_1_3_DSC01099,12.12,0.84,10,11.0,8.56,1.21,31.0,1.84,0.77,0.0,132
40_2_2_2_1_DSC01089,13.68,0.86,10,12.0,8.34,1.24,34.0,1.88,0.71,0.0,153
40_2_2_2_2_DSC01091,13.13,0.84,10,11.0,8.75,1.31,39.0,1.81,0.51,0.0,160
40_2_2_2_3_DSC01093,13.94,0.64,11,12.0,9.13,1.27,40.0,1.93,0.51,0.0,189
40_2_2_3_1_DSC01083,10.88,0.84,9,10.0,8.65,1.21,36.0,1.79,0.58,0.0,142
40_2_2_3_2_DSC01085,11.5,0.64,9,10.0,8.87,1.28,34.0,1.89,0.62,0.0,140
40_2_2_3_3_DSC01087,11.64,0.86,9,11.0,9.3,1.16,42.0,1.86,0.46,0.0,171
41_2_2_1_1_DSC00230,16.7,0.74,10,12.0,13.47,1.52,51.0,2.79,0.47,0.0,283
42_2_1_1_1_DSC01717,17.7,0.8,13,14.0,7.04,1.36,22.0,1.52,0.65,0.0,143
42_2_1_1_2_DSC01719,14.73,0.8,12,12.0,5.42,1.34,12.0,1.53,0.6,0.0,87
42_2_1_1_3_DSC01715,11.81,0.8,11,13.0,6.41,0.99,13.0,1.17,0.8,0.0,98
42_2_1_2_1_DSC01724,10.71,0.8,8,10.0,6.27,1.19,14.0,1.35,0.71,0.0,76
42_2_1_2_2_DSC01726,12.67,0.8,10,11.0,6.71,1.27,20.0,1.39,0.52,0.0,99
42_2_1_2_3_DSC01722,12.31,0.8,11,11.0,5.46,1.23,12.0,1.15,0.43,0.0,74
42_2_1_3_1_DSC01729,14.95,0.56,13,14.0,7.34,1.15,26.0,1.53,0.44,0.0,156
42_2_1_3_2DSC01731,11.12,0.78,10,11.0,6.83,1.11,14.0,1.5,0.71,0.0,93
42_2_1_3_3_DSC01733,14.45,0.8,11,14.0,7.13,1.11,26.0,1.48,0.42,0.0,131
42_2_2_1_1_DSC01687,16.26,0.6,10,13.0,7.35,1.35,25.0,1.5,0.78,0.0,123
42_2_2_1_2_DSC01689,15.23,0.78,14,16.0,6.36,1.02,23.0,1.45,0.62,0.0,133
42_2_2_1_3_DSC01695,14.65,0.56,11,13.0,7.36,1.22,19.0,1.46,0.66,0.0,109
42_2_2_2_1_DSC01685,13.0,0.78,15,15.0,5.37,0.93,6.0,1.21,1.51,0.0,88
42_2_2_2_2_DSC01691,16.11,0.8,14,15.0,6.25,1.15,14.0,1.2,1.33,0.0,101
42_2_2_2_3_DSC01693,18.13,0.54,14,16.0,7.27,1.21,21.0,1.2,0.85,0.0,120
42_2_2_3_1_DSC01697,13.33,0.8,12,13.0,7.43,1.11,19.0,1.62,0.84,0.0,116
42_2_2_3_2_DSC01699,10.8,0.78,9,11.0,7.25,1.08,14.0,1.51,0.98,0.0,104
42_2_2_3_3_DSC01701,13.55,0.72,14,16.0,5.54,0.9,17.0,1.22,0.72,0.0,95
47_2_1_1_1_DSC01297,14.53,0.38,12,13.0,9.8,1.21,57.0,2.03,0.28,0.0,287
47_2_1_1_2_DSC01299,12.8,0.42,9,12.0,9.88,1.16,52.0,2.19,0.41,0.0,263
47_2_1_2_1_DSC01307,12.17,0.44,12,12.0,9.95,1.11,56.0,2.19,0.28,0.0,269
47_2_1_2_2_DSC01312,12.89,0.52,12,13.0,9.01,1.07,49.0,2.01,0.41,0.0,231
47_2_1_2_3_DSC01309,12.53,0.86,10,11.0,9.53,1.25,40.0,2.1,0.45,0.0,208
47_2_1_3_1_DSC01314,10.98,0.62,9,11.0,10.7,1.1,51.0,2.29,0.3,0.0,258
47_2_1_3_2_DSC01316,11.85,0.48,8,12.0,9.99,1.08,55.0,2.18,0.34,0.0,265
47_2_1_3_3_DSC01318,12.1,0.38,9,11.0,10.02,1.21,50.0,2.07,0.35,0.0,235
48_2_1_1_1_DSC01459,13.15,0.78,8,8.0,10.35,1.88,26.0,2.1,0.37,3.0,144
48_2_1_1_2_DSC01461,12.11,0.86,9,9.0,9.08,1.51,26.0,1.84,0.54,0.0,108
48_2_1_1_3_DSC01463,13.72,0.78,8,9.0,8.22,1.72,19.0,1.78,0.8,0.0,93
48_2_1_2_1_DSC01465,11.96,0.88,7,10.0,8.47,1.33,25.0,1.78,0.62,0.0,129
48_2_1_2_2_DSC01467,12.52,0.86,8,10.0,9.53,1.39,29.0,1.75,0.47,0.0,141
48_2_1_3_1_DSC01471,12.36,0.86,7,8.0,11.16,1.76,32.0,2.38,0.33,0.0,164
48_2_1_3_2_DSC01473,10.7,0.52,8,8.0,9.71,1.53,23.0,2.05,0.54,0.0,102
48_2_1_3_3_DSC01476,13.07,0.8,9,11.0,9.14,1.31,29.0,1.83,0.61,0.0,134
53_2_1_1_1_DSC01741,11.33,0.86,6,10.0,9.55,1.26,21.0,2.0,0.46,0.0,140
53_2_1_1_2_DSC01743,10.11,0.8,7,9.0,7.72,1.26,12.0,2.15,0.39,0.0,102
53_2_1_1_3_DSC01745,9.93,0.86,5,7.0,10.71,1.66,14.0,2.67,0.49,0.0,113
53_2_1_2_1_DSC01747,9.28,0.48,5,9.0,9.57,1.16,18.0,1.99,0.55,0.0,128
53_2_1_2_2_DSC01750,10.58,0.86,7,10.0,8.98,1.18,16.0,1.77,0.9,0.0,126
53_2_1_2_3_DSC01752,7.91,0.44,6,9.0,9.44,0.99,19.0,1.89,0.37,0.0,129
55_2_1_1_1_DSC01626,12.41,0.86,12,15.0,10.76,0.88,31.0,1.86,0.88,0.0,213
55_2_1_1_2_DSC01628,11.61,0.44,12,14.0,9.83,0.89,27.0,1.68,0.56,0.0,178
55_2_1_1_3_DSC01630,10.41,0.4,9,14.0,9.88,0.8,24.0,2.0,0.64,0.0,183
55_2_1_2_1_DSC01703,10.44,0.52,9,15.0,11.11,0.75,29.0,2.21,0.44,0.0,138
55_2_1_2_2_DSC01705,10.03,0.78,8,17.0,10.59,0.63,38.0,1.75,0.75,0.0,190
55_2_1_2_3_DSC01707,9.17,0.8,9,14.0,9.17,0.7,18.0,2.2,0.74,0.0,141
55_2_1_3_1_DSC01709,12.24,0.8,10,17.0,9.69,0.76,34.0,1.41,0.74,0.0,186
55_2_1_3_2_DSC01711,12.48,0.4,12,18.0,10.66,0.73,47.0,1.56,0.69,0.0,230
55_2_1_3_3_DSC01713,11.31,0.8,11,16.0,9.99,0.75,29.0,1.69,0.91,0.0,193
56_2_1_1_1_DSC01602,11.61,0.48,7,17.0,9.5,0.73,27.0,1.56,0.9,0.0,162
56_2_1_1_2_DSC01604,11.09,0.58,11,16.0,8.68,0.74,27.0,1.48,0.72,0.0,169
56_2_1_1_3_DSC01606,12.87,0.86,10,15.0,9.66,0.92,23.0,1.87,0.64,0.0,168
56_2_1_2_1_DSC01612,13.3,0.54,8,15.0,9.68,0.95,18.0,1.79,0.85,0.0,159
56_2_1_2_2_DSC01610,12.61,0.58,12,16.0,8.6,0.84,20.0,1.38,0.5,0.0,149
56_2_1_2_3_DSC01608,12.63,0.48,12,15.0,8.9,0.9,19.0,1.4,0.72,0.0,154
56_2_1_3_1_DSC01735,13.62,0.44,11,15.0,9.51,0.97,20.0,1.86,0.45,0.0,169
56_2_1_3_2_DSC01737,9.73,0.58,8,13.0,11.02,0.81,30.0,2.1,0.6,0.0,210
56_2_1_3_3_DSC01739,12.76,0.48,13,14.0,10.22,0.98,26.0,1.9,0.52,0.0,177
58_2_1_2_2_DSC01352,9.38,0.66,8,11.0,11.42,0.94,44.0,2.36,0.29,0.0,241
59_2_1_1_1_DSC01498,11.91,0.88,8,13.0,10.4,0.99,35.0,1.54,0.5,0.0,138
59_2_1_1_2_DSC01500,11.08,0.86,11,11.0,9.19,1.11,21.0,1.63,0.63,0.0,112
59_2_1_1_3_DSC01503,11.3,0.88,11,11.0,9.04,1.13,21.0,2.06,0.34,0.0,132
59_2_1_2_1_DSC01551,10.62,0.86,9,13.0,9.54,0.88,25.0,1.99,0.54,0.0,127
59_2_1_2_2_DSC01555,9.91,0.86,9,9.0,9.2,1.24,19.0,1.61,0.24,0.0,105
59_2_1_2_3_DSC01553,12.32,0.86,10,11.0,9.18,1.23,17.0,1.83,0.48,0.0,119
61_2_1_1_1_DSC01583,13.67,0.78,10,12.0,9.32,1.24,11.0,1.61,0.78,0.0,109
61_2_1_1_2_DSC01585,11.33,0.86,8,10.0,8.33,1.26,13.0,1.53,0.56,0.0,100
61_2_1_1_3_DSC01587,7.74,0.86,6,9.0,8.73,0.97,16.0,1.6,0.4,0.0,98
61_2_1_2_1_DSC01589,11.48,0.86,10,11.0,8.2,1.15,10.0,1.7,0.72,0.0,101
61_2_1_2_2_DSC01591,11.16,0.54,8,10.0,8.83,1.24,14.0,2.04,0.44,0.0,112
61_2_1_2_3_DSC01593,12.22,0.24,9,12.0,8.56,1.11,13.0,1.69,0.91,0.0,108
61_2_1_2_3_DSC01594,13.74,0.52,9,12.0,8.41,1.25,12.0,1.67,0.63,0.0,112
61_2_1_3_1_DSC01596,11.6,0.4,9,13.0,8.83,0.97,21.0,1.58,0.53,0.0,146
61_2_1_3_2_DSC01598,10.94,0.56,7,12.0,8.84,0.99,13.0,1.74,0.57,0.0,110
