ID,X,Y,No.Grains,Length,Width,Area,Primeter,Circularity,Compactness,Ellipticity,AR
0,714,794,1.0,0.64,0.27,9.05,1.62,0.74,0.73,0.99,2.37
1,1008,254,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,993,773,1.0,0.57,0.3,8.47,1.53,0.77,0.81,0.99,1.93
3,255,437,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,753,729,2.0,0.91,0.29,13.51,2.36,0.52,0.52,0.86,3.13
5,867,295,2.0,0.83,0.37,14.66,2.12,0.69,0.73,0.99,2.25
6,1225,769,2.0,0.99,0.28,13.78,2.5,0.47,0.46,0.84,3.58
7,769,559,1.0,0.44,0.29,5.93,1.23,0.83,0.91,0.99,1.51
8,535,497,1.0,0.63,0.34,10.29,1.68,0.77,0.83,0.97,1.84
9,706,848,1.0,0.63,0.31,10.24,1.67,0.78,0.81,0.99,2.06
10,953,335,4.0,1.63,0.42,28.56,4.15,0.35,0.37,0.58,3.83
11,457,265,1.0,0.6,0.29,9.02,1.56,0.79,0.8,0.99,2.07
12,653,375,3.0,1.45,0.27,20.29,3.51,0.35,0.32,0.83,5.48
13,443,185,2.0,1.05,0.28,15.05,2.54,0.5,0.46,0.89,3.79
14,511,805,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,578,651,2.0,0.85,0.27,11.83,2.18,0.53,0.54,0.92,3.1
16,1013,294,1.0,0.52,0.37,8.78,1.51,0.82,0.93,0.94,1.39
17,756,388,2.0,0.87,0.42,16.34,2.24,0.69,0.76,0.92,2.07
18,1092,233,1.0,0.46,0.27,6.32,1.27,0.84,0.87,0.99,1.72
19,206,429,1.0,0.54,0.26,7.08,1.45,0.72,0.76,0.96,2.09
20,93,369,1.0,0.61,0.32,9.63,1.65,0.75,0.81,0.99,1.93
21,716,351,1.0,0.53,0.27,7.05,1.4,0.76,0.82,0.99,1.92
22,325,416,4.0,1.53,0.48,27.0,4.04,0.35,0.39,0.58,3.18
23,854,145,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1043,912,1.0,0.25,0.24,2.8,0.81,0.91,1.0,1.0,1.07
25,1256,808,1.0,0.5,0.3,7.14,1.39,0.79,0.85,0.98,1.68
26,1123,203,1.0,0.53,0.27,7.75,1.43,0.8,0.81,0.98,1.99
27,224,524,1.0,0.51,0.27,6.83,1.37,0.77,0.83,0.98,1.87
28,96,531,1.0,0.58,0.31,8.56,1.53,0.78,0.82,0.99,1.9
29,164,405,1.0,0.67,0.31,10.27,1.74,0.72,0.75,1.0,2.17
30,425,472,1.0,0.34,0.24,4.07,0.97,0.91,0.97,1.0,1.42
31,746,301,1.0,0.54,0.32,8.46,1.47,0.83,0.88,1.0,1.68
32,1180,149,1.0,0.47,0.27,6.42,1.29,0.82,0.85,0.99,1.78
33,636,264,1.0,0.59,0.35,10.19,1.65,0.79,0.87,0.98,1.69
34,713,621,1.0,0.49,0.26,6.66,1.29,0.85,0.86,1.0,1.92
35,696,668,2.0,0.74,0.45,13.8,2.16,0.63,0.79,0.84,1.64
36,520,328,1.0,0.62,0.28,8.68,1.59,0.73,0.75,0.98,2.23
37,1239,298,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,628,217,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
