ID,X,Y,No.Grains,Length,Width,Area,Primeter,Circularity,Compactness,Ellipticity,AR
0,1259,521,1.0,0.36,0.22,4.15,1.03,0.83,0.88,0.99,1.64
1,1482,915,1.0,0.65,0.3,9.78,1.73,0.7,0.74,0.97,2.17
2,675,81,1.0,0.69,0.31,10.39,1.82,0.67,0.74,0.98,2.21
3,370,918,1.0,0.53,0.39,9.15,1.55,0.81,0.92,0.97,1.36
4,512,538,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1077,538,1.0,0.5,0.28,6.86,1.39,0.76,0.81,0.96,1.81
6,1349,418,1.0,0.22,0.21,2.22,0.73,0.9,0.99,1.0,1.07
7,913,668,1.0,0.22,0.22,2.31,0.74,0.91,1.0,1.0,1.0
8,962,1109,1.0,0.76,0.29,11.15,1.91,0.65,0.66,0.99,2.62
9,1016,331,1.0,0.8,0.32,12.19,2.04,0.62,0.66,0.98,2.53
10,765,1245,1.0,0.72,0.31,10.78,1.84,0.68,0.71,0.99,2.34
11,1573,190,1.0,0.63,0.29,9.34,1.62,0.76,0.77,0.99,2.15
12,531,829,1.0,0.54,0.29,7.07,1.51,0.66,0.75,0.91,1.86
13,1275,574,1.0,0.2,0.2,1.93,0.68,0.89,1.0,1.0,1.0
14,158,678,2.0,0.97,0.29,13.8,2.33,0.54,0.54,0.97,3.32
15,635,813,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,689,118,1.0,0.49,0.31,7.32,1.37,0.83,0.9,0.98,1.57
17,435,374,2.0,0.7,0.35,10.64,1.89,0.64,0.72,0.91,2.01
18,927,1227,1.0,0.84,0.28,11.75,2.07,0.59,0.58,0.98,3.0
19,775,383,2.0,0.75,0.35,12.32,1.93,0.7,0.75,0.98,2.14
20,1315,562,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1115,773,1.0,0.49,0.28,6.49,1.33,0.78,0.84,0.96,1.76
22,827,1004,1.0,0.29,0.24,3.25,0.89,0.88,0.98,1.0,1.21
23,1229,868,1.0,0.22,0.21,2.22,0.73,0.9,0.99,1.0,1.07
24,747,527,1.0,0.67,0.3,9.83,1.72,0.71,0.74,0.98,2.26
25,716,211,1.0,0.45,0.28,6.24,1.27,0.82,0.89,0.99,1.59
26,724,892,1.0,0.31,0.3,4.22,1.03,0.85,0.99,0.98,1.05
27,800,784,1.0,0.54,0.33,8.95,1.54,0.8,0.88,0.98,1.61
28,1570,1024,1.0,0.66,0.28,9.25,1.71,0.67,0.68,0.96,2.39
29,341,259,1.0,0.44,0.37,7.07,1.35,0.82,0.97,0.97,1.18
30,313,228,1.0,0.68,0.31,10.64,1.77,0.72,0.77,0.98,2.17
31,288,626,1.0,0.7,0.33,11.03,1.79,0.73,0.76,0.99,2.16
32,617,541,1.0,0.5,0.24,6.24,1.34,0.74,0.77,0.98,2.08
33,1663,425,1.0,0.67,0.3,9.98,1.73,0.71,0.74,0.99,2.23
34,1085,831,1.0,0.57,0.24,7.02,1.5,0.66,0.66,0.94,2.44
35,1111,868,1.0,0.31,0.24,3.59,0.94,0.87,0.96,0.99,1.3
36,1616,450,1.0,0.65,0.28,9.03,1.66,0.7,0.72,0.99,2.31
37,992,106,1.0,0.58,0.31,9.22,1.55,0.82,0.85,0.99,1.89
38,1014,276,1.0,0.75,0.32,11.53,1.89,0.69,0.7,0.96,2.31
39,790,1142,1.0,0.74,0.29,10.95,1.87,0.67,0.68,0.99,2.53
40,469,865,1.0,0.41,0.24,4.93,1.16,0.78,0.85,0.97,1.72
41,621,871,1.0,0.64,0.27,8.93,1.69,0.67,0.7,0.98,2.43
42,863,737,1.0,0.46,0.23,5.51,1.24,0.77,0.8,0.98,1.99
43,1000,223,1.0,0.76,0.29,11.41,1.9,0.67,0.68,0.99,2.58
44,1038,396,1.0,0.69,0.26,8.8,1.74,0.62,0.65,0.98,2.67
45,466,762,1.0,0.37,0.22,4.29,1.05,0.83,0.9,0.99,1.66
46,1456,881,1.0,0.27,0.25,3.31,0.89,0.9,0.99,0.99,1.06
47,1224,585,1.0,0.34,0.22,3.78,0.99,0.82,0.9,0.98,1.55
48,215,674,1.0,0.76,0.29,10.78,1.88,0.65,0.66,0.99,2.63
49,836,759,1.0,0.47,0.29,6.64,1.32,0.81,0.88,0.97,1.63
50,372,801,1.0,0.41,0.19,4.25,1.15,0.69,0.72,0.9,2.12
51,364,667,1.0,0.31,0.26,3.78,0.94,0.91,0.99,1.0,1.18
52,1369,735,1.0,0.47,0.27,6.34,1.31,0.78,0.85,0.98,1.77
53,750,749,1.0,0.36,0.22,3.95,1.0,0.84,0.9,1.0,1.61
54,626,577,1.0,0.57,0.26,7.69,1.52,0.71,0.75,0.97,2.21
55,808,565,1.0,0.55,0.28,7.32,1.48,0.71,0.77,0.93,1.95
56,1144,905,1.0,0.66,0.32,10.15,1.71,0.74,0.78,0.98,2.09
57,322,784,1.0,0.38,0.2,4.14,1.07,0.76,0.84,0.98,1.86
58,893,600,1.0,0.5,0.24,6.41,1.35,0.75,0.8,0.98,2.07
59,303,720,1.0,0.7,0.32,10.86,1.79,0.72,0.74,0.99,2.19
60,227,984,1.0,0.55,0.24,6.83,1.44,0.7,0.73,0.97,2.25
61,1538,497,1.0,0.52,0.3,7.75,1.43,0.81,0.88,0.98,1.7
62,111,680,1.0,0.5,0.38,9.36,1.5,0.88,0.96,0.99,1.31
63,136,851,1.0,0.52,0.32,7.49,1.46,0.75,0.84,0.94,1.64
64,984,1041,1.0,0.77,0.29,11.05,1.92,0.64,0.65,0.99,2.65
65,754,315,1.0,0.43,0.21,4.78,1.26,0.64,0.73,0.89,2.04
66,64,674,2.0,0.83,0.32,13.29,2.08,0.66,0.68,0.98,2.58
67,992,165,1.0,0.54,0.32,8.63,1.54,0.77,0.86,0.95,1.68
