file_name,PA_length,PA_diameter,Node_nb,SA_nb,SA_average,SA_int,TA_nb,TA_average,TA_int,QA_nb,Sp_nb,SA,SA_length,node,TA_nb,Sp_nb,SA_int,TA,TA_length,QA_nb,Sp_nb,TA_int,QA,QA_length,Sp_nb,QA_int
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA1,12.36,1,4,16,0,SA1_TA1,2.48,0,2,0.77,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA1,12.36,1,4,16,0,SA1_TA2,1.75,0,3,1.59,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA1,12.36,1,4,16,0,SA1_TA3,1.98,0,3,3.32,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA1,12.36,1,4,16,0,SA1_TA4,2.02,0,2,5.03,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA2,12.14,1,4,16,0.09,SA2_TA1,2.94,0,3,0.47,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA2,12.14,1,4,16,0.09,SA2_TA2,2.81,0,4,1.07,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA2,12.14,1,4,16,0.09,SA2_TA3,2.65,0,3,3.25,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA2,12.14,1,4,16,0.09,SA2_TA4,2.06,0,3,5.17,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA3,13.27,1,4,22,0.16,SA3_TA1,2.99,0,0,1.44,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA3,13.27,1,4,22,0.16,SA3_TA2,2.54,0,0,2.35,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA3,13.27,1,4,22,0.16,SA3_TA3,2.79,0,5,4.16,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA3,13.27,1,4,22,0.16,SA3_TA4,2.34,0,3,5.9,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA4,14.04,2,4,23,2.61,SA4_TA1,3.01,0,4,0.82,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA4,14.04,2,4,23,2.61,SA4_TA2,3.92,0,5,1.73,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA4,14.04,2,4,23,2.61,SA4_TA3,3.42,0,4,3.97,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA4,14.04,2,4,23,2.61,SA4_TA4,2.24,0,3,5.85,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA5,14.55,3,3,20,0.27,SA5_TA1,3.7,0,5,0.94,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA5,14.55,3,3,20,0.27,SA5_TA2,3.18,0,4,2.88,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA5,14.55,3,3,20,0.27,SA5_TA3,2.24,0,3,4.99,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA6,13.04,4,3,35,2.82,SA6_TA1,3.52,0,5,0.6,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA6,13.04,4,3,35,2.82,SA6_TA2,3.15,0,0,2.56,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA6,13.04,4,3,35,2.82,SA6_TA3,2.25,0,0,5.0,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA7,12.65,5,3,19,1.9,SA7_TA1,3.82,0,19,0.25,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA7,12.65,5,3,19,1.9,SA7_TA2,3.03,0,7,2.77,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA7,12.65,5,3,19,1.9,SA7_TA3,2.4,0,3,4.44,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA8,10.43,6,3,35,2.0,SA8_TA1,2.89,0,9,0.73,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA8,10.43,6,3,35,2.0,SA8_TA2,2.49,0,3,2.21,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA8,10.43,6,3,35,2.0,SA8_TA3,2.22,0,3,3.89,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA9,9.5,7,2,12,1.91,SA9_TA1,2.04,0,3,0.93,NV,NV,NV,NV
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166,SA9,9.5,7,2,12,1.91,SA9_TA2,2.13,0,3,2.92,NV,NV,NV,NV

10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA1,10.41,1,3,14,0,SA1_TA1,2.53,0,0,0.66,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA1,10.41,1,3,14,0,SA1_TA2,1.75,0,3,2.67,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA1,10.41,1,3,14,0,SA1_TA3,1.76,0,2,4.37,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA2,12.33,1,5,14,0.11,SA2_TA1,3.17,0,4,0.4,NV,NV,NV,NV
