file_name,Sp_nb,Sp_length,Sp_width,Sp_area,Sp_primeter,Sp_circularity,Sp_compactness, Sp_ellipticity, Sp_AR
10_2_1_1_1_DSC01291,166,0.52,0.26,7.02,1.39,0.75,0.8,0.98,1.97
10_2_1_1_2_DSC01293,157,0.51,0.26,6.96,1.37,0.77,0.81,0.98,1.91
10_2_1_1_3_DSC01295,192,0.54,0.27,7.44,1.44,0.75,0.79,0.97,1.98
10_2_1_2_1_DSC01301,210,0.52,0.26,6.94,1.38,0.76,0.8,0.98,1.98
10_2_1_2_2_DSC01303,185,0.5,0.26,6.52,1.33,0.77,0.81,0.98,1.9
10_2_1_2_3_DSC01305,173,0.54,0.26,7.21,1.42,0.75,0.78,0.98,2.06
10_2_2_1_1_DSC00194,186,0.54,0.26,7.19,1.42,0.75,0.79,0.97,2.01
10_2_2_1_2_DSC00195,123,0.52,0.26,6.95,1.38,0.75,0.8,0.97,1.94
10_2_2_1_3_DSC00196,177,0.51,0.27,7.03,1.39,0.76,0.81,0.97,1.89
11_2_1_1_1_DSC01182,245,0.46,0.25,5.94,1.25,0.79,0.84,0.98,1.8
11_2_1_1_2_DSC01180,209,0.47,0.25,5.99,1.27,0.78,0.83,0.98,1.82
11_2_1_1_3_DSC01178,193,0.45,0.25,5.75,1.24,0.78,0.84,0.98,1.8
11_2_1_2_1_DSC09767,155,0.61,0.27,8.52,1.59,0.7,0.73,0.96,2.24
11_2_1_2_2_DSC09769,191,0.66,0.29,9.77,1.7,0.71,0.74,0.97,2.23
11_2_1_2_3_DSC09771,138,0.53,0.28,7.7,1.43,0.77,0.82,0.97,1.85
11_2_1_3_1_DSC09773,200,0.6,0.28,8.66,1.58,0.72,0.76,0.97,2.12
11_2_1_3_2_DSC09775,186,0.49,0.26,6.5,1.33,0.76,0.81,0.97,1.89
11_2_1_3_3_DSC09777,180,0.66,0.29,9.63,1.7,0.7,0.73,0.96,2.24
11_2_2_1_1_DSC00270,305,0.47,0.26,6.11,1.27,0.79,0.84,0.98,1.78
11_2_2_1_2_DSC00273,221,0.47,0.25,6.08,1.28,0.78,0.83,0.98,1.85
11_2_2_1_3_DSC00275,231,0.45,0.25,5.71,1.23,0.79,0.84,0.98,1.81
11_2_2_2_1_DSC00277,150,0.45,0.24,5.59,1.22,0.78,0.83,0.98,1.83
11_2_2_2_2_DSC00280,287,0.45,0.25,5.72,1.23,0.79,0.84,0.98,1.82
11_2_2_2_3_DSC00282,224,0.47,0.25,5.94,1.26,0.78,0.83,0.98,1.87
11_2_2_3_1_DSC00284,218,0.44,0.26,5.91,1.22,0.82,0.88,0.98,1.63
11_2_2_3_2_DSC00286,259,0.48,0.25,6.19,1.29,0.78,0.82,0.98,1.9
11_2_2_3_3_DSC00288,234,0.49,0.25,6.28,1.31,0.77,0.81,0.98,1.93
12_2_1_1_2_DSC09788,248,0.52,0.28,7.22,1.41,0.75,0.81,0.95,1.85
12_2_1_1_3,229,0.48,0.29,7.11,1.35,0.8,0.87,0.97,1.62
12_2_1_2_1_DSC09792,160,0.47,0.29,6.82,1.32,0.8,0.87,0.96,1.61
12_2_1_2_2_DSC09794,211,0.49,0.28,6.92,1.34,0.79,0.85,0.97,1.69
12_2_1_2_3_DSC09796,141,0.52,0.29,7.46,1.43,0.74,0.81,0.95,1.79
12_2_1_3_1_DSC09798,150,0.53,0.26,7.22,1.41,0.74,0.79,0.96,1.93
12_2_1_3_2_DSC09800,156,0.49,0.28,6.93,1.33,0.79,0.84,0.96,1.67
12_2_1_3_3_DSC09802,177,0.51,0.29,7.44,1.4,0.79,0.85,0.97,1.71
12_2_2_1_1_DSC01047,254,0.4,0.25,5.01,1.13,0.81,0.88,0.97,1.56
12_2_2_1_2DSC01049,266,0.4,0.27,5.37,1.15,0.84,0.91,0.98,1.45
12_2_2_1_3_DSC01052,188,0.45,0.26,5.9,1.24,0.79,0.85,0.96,1.67
12_2_2_2_1_DSC01059,207,0.4,0.27,5.41,1.15,0.84,0.9,0.98,1.46
12_2_2_2_2_DSC01057,185,0.43,0.25,5.35,1.18,0.78,0.84,0.96,1.7
12_2_2_2_3_DSC01055,174,0.45,0.25,5.78,1.23,0.77,0.83,0.95,1.7
13_2_2_1_1_DSC00197,305,0.42,0.24,5.17,1.16,0.8,0.87,0.98,1.68
13_2_2_1_2_DSC00199,234,0.46,0.26,6.0,1.26,0.79,0.84,0.98,1.79
13_2_2_1_3_DSC00200,237,0.44,0.25,5.67,1.21,0.8,0.86,0.98,1.73
