file_name,PA_length,PA_diameter,Node_nb,SA_nb,SA_average,SA_int,TA_nb,TA_average,TA_int,QA_nb,Sp_nb
10_2_1_1_1_DSC01291,11.75,0.64,7,9.0,12.44,1.47,30.0,2.7,0.23,0.0,166
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192
10_2_1_2_1_DSC01301,13.34,0.66,10,11.0,13.4,1.33,38.0,2.73,0.34,0.0,210
10_2_1_2_2_DSC01303,12.94,0.4,12,14.0,10.79,0.99,25.0,1.96,0.67,0.0,185
10_2_1_2_3_DSC01305,13.29,0.86,8,11.0,11.08,1.33,31.0,2.38,0.25,0.0,173
10_2_2_1_1_DSC00194,14.79,0.52,9,12.0,11.25,1.34,31.0,2.86,0.35,0.0,186
10_2_2_1_2_DSC00195,13.44,0.46,7,9.0,10.74,1.68,20.0,2.58,0.57,0.0,123
10_2_2_1_3_DSC00196,12.98,0.74,9,13.0,10.32,1.08,27.0,2.27,0.6,0.0,177
11_2_1_1_1_DSC01182,13.13,0.54,9,10.0,12.43,1.46,43.0,2.49,0.2,0.0,245
11_2_1_1_2_DSC01180,14.43,0.46,7,8.0,15.68,2.06,36.0,3.1,0.22,0.0,209
11_2_1_1_3_DSC01178,12.37,0.48,9,9.0,11.56,1.55,32.0,2.92,0.24,0.0,193
11_2_1_2_1_DSC09767,14.28,0.16,7,7.0,14.36,2.38,24.0,3.63,0.24,0.0,155
11_2_1_2_2_DSC09769,15.03,0.16,7,7.0,16.95,2.5,32.0,4.48,0.38,0.0,191
11_2_1_2_3_DSC09771,12.98,0.24,6,7.0,13.53,2.17,22.0,3.07,0.41,1.0,138
11_2_1_3_1_DSC09773,13.37,0.3,7,7.0,20.82,2.23,37.0,3.33,0.22,2.0,200
11_2_1_3_2_DSC09775,12.66,0.32,6,7.0,13.55,2.11,29.0,3.15,0.32,3.0,186
11_2_1_3_3_DSC09777,12.52,0.28,6,6.0,16.29,2.51,28.0,3.52,0.37,5.0,180
11_2_2_1_1_DSC00270,14.29,0.44,8,11.0,14.01,1.43,58.0,2.57,0.15,1.0,305
11_2_2_1_2_DSC00273,13.98,0.74,7,10.0,11.89,1.55,35.0,2.99,0.27,1.0,221
11_2_2_1_3_DSC00275,13.08,0.52,9,11.0,12.19,1.31,40.0,2.62,0.4,0.0,231
11_2_2_2_1_DSC00277,7.56,0.54,5,8.0,12.75,1.08,29.0,2.46,0.67,0.0,150
11_2_2_2_2_DSC00280,13.19,0.74,10,11.0,14.46,1.32,52.0,2.88,0.26,0.0,287
11_2_2_2_3_DSC00282,8.61,0.42,7,8.0,13.95,1.23,37.0,3.51,0.34,1.0,224
11_2_2_3_1_DSC00284,9.4,0.52,5,11.0,11.17,0.94,37.0,2.18,0.61,0.0,218
11_2_2_3_2_DSC00286,13.17,0.74,9,9.0,13.23,1.65,45.0,2.78,0.24,1.0,259
11_2_2_3_3_DSC00288,9.36,0.46,7,7.0,17.39,1.56,41.0,3.25,0.19,0.0,234
12_2_1_1_2_DSC09788,14.42,0.3,9,11.0,12.3,1.44,41.0,3.04,0.72,0.0,248
12_2_1_1_3,14.78,0.34,10,11.0,12.59,1.48,38.0,2.88,0.77,0.0,229
12_2_1_2_1_DSC09792,13.07,0.34,9,11.0,10.27,1.3,24.0,2.42,1.39,0.0,160
12_2_1_2_2_DSC09794,12.46,0.24,6,11.0,11.51,1.25,33.0,2.68,0.87,1.0,211
12_2_1_2_3_DSC09796,13.34,0.3,9,10.0,9.66,1.48,21.0,2.27,1.3,0.0,141
12_2_1_3_1_DSC09798,14.45,0.16,9,9.0,11.45,1.81,23.0,2.7,0.86,0.0,150
12_2_1_3_2_DSC09800,13.04,0.3,8,9.0,10.77,1.63,25.0,2.71,0.93,0.0,156
12_2_1_3_3_DSC09802,15.97,0.14,9,9.0,11.42,2.0,32.0,2.61,0.6,0.0,177
12_2_2_1_1_DSC01047,13.25,0.76,9,12.0,10.39,1.2,43.0,2.08,0.68,0.0,254
12_2_2_1_2DSC01049,13.57,0.42,9,11.0,10.95,1.36,47.0,2.28,0.45,2.0,266
12_2_2_1_3_DSC01052,12.8,0.74,8,12.0,8.8,1.16,34.0,1.9,0.68,0.0,188
12_2_2_2_1_DSC01059,13.82,0.66,10,13.0,8.75,1.15,38.0,1.91,0.7,0.0,207
12_2_2_2_2_DSC01057,12.04,0.84,8,11.0,8.99,1.2,30.0,2.08,0.79,0.0,185
12_2_2_2_3_DSC01055,12.07,0.84,10,11.0,9.13,1.21,29.0,2.18,0.93,0.0,174
13_2_2_1_1_DSC00197,13.65,0.74,10,12.0,10.7,1.24,51.0,2.39,0.34,0.0,305
13_2_2_1_2_DSC00199,13.54,0.72,7,9.0,11.28,1.69,39.0,2.69,0.2,0.0,234
13_2_2_1_3_DSC00200,12.52,0.8,8,9.0,11.32,1.57,41.0,2.36,0.22,1.0,237
13_2_2_2_1_DSC00202,12.7,0.54,10,12.0,9.11,1.15,40.0,1.88,0.46,0.0,232
13_2_2_2_2_DSC00203,11.64,0.52,8,10.0,10.1,1.29,42.0,2.05,0.38,0.0,235
13_2_2_2_3_DSC00204,12.3,0.72,9,10.0,9.98,1.36,37.0,2.22,0.27,0.0,222
13_2_2_3_1_DSC00206,12.76,0.74,11,13.0,8.83,1.06,39.0,2.06,0.44,0.0,238
13_2_2_3_2_DSC00208,9.79,0.48,8,10.0,9.33,1.09,33.0,1.91,0.71,0.0,193
13_2_2_3_3_DSC00210,14.18,0.74,10,10.0,10.08,1.58,42.0,2.37,0.17,0.0,234
14_2_1_1_1_DSC09956,10.99,0.64,8,10.0,12.09,1.22,52.0,2.08,0.26,5.0,307
14_2_1_1_2_DSC09957,11.42,0.64,9,10.0,10.5,1.27,46.0,2.12,0.25,1.0,266
14_2_1_1_3_DSC09960,10.95,0.48,8,11.0,12.28,1.09,55.0,2.16,0.21,1.0,344
