ID,X,Y,No.Grains,Length,Width,Area,Primeter,Circularity,Compactness,Ellipticity,AR
0,1348,579,4.0,1.9,0.35,31.53,4.75,0.3,0.29,0.74,5.45
1,1925,1089,1.0,0.47,0.27,6.63,1.32,0.81,0.87,0.98,1.72
2,994,439,1.0,0.31,0.25,3.71,0.95,0.88,0.98,0.99,1.21
3,1295,609,1.0,0.73,0.32,11.71,1.87,0.71,0.71,0.97,2.26
4,1510,1206,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1921,1365,1.0,0.66,0.3,9.71,1.73,0.69,0.72,0.97,2.18
6,789,590,1.0,0.6,0.37,10.75,1.69,0.8,0.88,0.96,1.61
7,699,1226,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1488,1231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1543,428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,489,849,1.0,0.63,0.4,11.88,1.76,0.81,0.88,0.98,1.59
11,1900,532,1.0,0.51,0.26,7.08,1.38,0.79,0.81,0.98,1.97
12,1050,1161,1.0,0.71,0.38,11.59,1.89,0.69,0.77,0.95,1.85
13,1821,499,1.0,0.29,0.25,3.44,0.9,0.9,0.98,1.0,1.14
14,1022,448,1.0,0.52,0.26,6.86,1.41,0.73,0.78,0.96,2.02
15,1372,663,1.0,0.77,0.31,12.05,1.95,0.68,0.68,0.96,2.49
16,1327,899,1.0,0.46,0.28,6.71,1.34,0.8,0.87,0.95,1.63
17,694,412,3.0,1.66,0.33,26.61,4.1,0.34,0.35,0.88,4.99
18,1983,1208,2.0,0.96,0.3,14.08,2.4,0.52,0.51,0.91,3.15
19,1797,346,1.0,0.44,0.25,5.69,1.23,0.8,0.86,0.99,1.76
20,1328,1456,1.0,0.54,0.29,7.75,1.45,0.78,0.83,0.98,1.86
21,332,782,1.0,0.79,0.33,12.98,2.01,0.68,0.71,0.99,2.36
22,1042,1344,1.0,0.68,0.29,10.17,1.75,0.71,0.72,0.95,2.34
23,597,1384,3.0,1.55,0.38,25.92,3.91,0.36,0.34,0.73,4.04
24,1803,582,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1548,1567,2.0,0.82,0.29,11.85,2.1,0.57,0.59,0.91,2.8
26,1890,360,1.0,0.45,0.26,6.22,1.27,0.82,0.88,0.99,1.71
27,403,642,1.0,0.57,0.32,9.03,1.56,0.79,0.83,0.99,1.79
28,1538,387,2.0,0.98,0.29,14.02,2.46,0.49,0.49,0.88,3.34
29,1650,626,2.0,0.7,0.26,8.63,2.01,0.45,0.56,0.8,2.69
