ID,X,Y,No.Grains,Length,Width,Area,Primeter,Circularity,Compactness,Ellipticity,AR
0,1448,529,2.0,0.58,0.27,7.49,1.73,0.53,0.64,0.81,2.18
1,1478,503,1.0,0.29,0.25,3.37,0.89,0.91,0.99,1.0,1.14
2,1418,560,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1082,948,1.0,0.25,0.24,2.8,0.81,0.91,1.0,1.0,1.07
4,1539,274,1.0,0.36,0.24,4.53,1.07,0.85,0.92,0.99,1.5
5,951,1136,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,367,890,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1665,926,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1019,872,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,432,464,1.0,0.54,0.31,8.34,1.48,0.81,0.86,0.99,1.72
10,888,529,1.0,0.31,0.24,3.68,0.94,0.89,0.97,1.0,1.26
11,737,416,2.0,0.77,0.3,12.22,2.02,0.64,0.65,0.9,2.53
12,793,1379,1.0,0.46,0.29,6.44,1.32,0.78,0.89,0.94,1.59
13,568,672,1.0,0.6,0.25,7.88,1.55,0.7,0.73,0.97,2.34
14,1646,1126,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,525,1089,2.0,0.83,0.3,11.53,2.2,0.51,0.53,0.84,2.81
16,1641,595,1.0,0.44,0.29,5.97,1.22,0.85,0.91,0.99,1.52
17,312,420,3.0,0.95,0.35,15.02,2.64,0.46,0.5,0.76,2.72
18,1223,1292,1.0,0.44,0.29,6.54,1.25,0.89,0.93,1.0,1.53
19,619,1122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,408,573,1.0,0.34,0.24,4.03,1.01,0.85,0.94,0.99,1.43
21,1099,1071,1.0,0.32,0.24,3.83,0.97,0.86,0.95,0.99,1.35
22,881,1215,1.0,0.51,0.29,7.34,1.39,0.81,0.86,0.97,1.75
23,908,1214,1.0,0.29,0.24,3.31,0.88,0.92,0.99,1.0,1.21
24,282,387,1.0,0.39,0.32,5.86,1.19,0.88,0.96,0.99,1.21
25,1102,372,2.0,0.66,0.27,9.42,1.68,0.71,0.72,0.98,2.42
26,451,1241,1.0,0.24,0.24,2.54,0.77,0.9,1.0,1.0,1.0
27,1700,931,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1156,1145,1.0,0.25,0.24,2.8,0.81,0.91,1.0,1.0,1.07
29,511,1037,1.0,0.46,0.27,6.14,1.26,0.83,0.88,0.99,1.69
30,1478,1376,1.0,0.42,0.27,5.53,1.18,0.85,0.91,1.0,1.56
