ID,X,Y,No.Grains,Length,Width,Area,Primeter,Circularity,Compactness,Ellipticity,AR
0,631,484,1.0,0.48,0.29,7.14,1.34,0.85,0.89,0.99,1.63
1,622,759,1.0,0.36,0.29,4.49,1.06,0.85,0.96,0.98,1.24
2,1227,1011,1.0,0.66,0.31,9.31,1.82,0.6,0.66,0.87,2.17
3,273,756,1.0,0.65,0.29,9.24,1.67,0.7,0.73,0.99,2.26
4,646,712,2.0,0.99,0.27,12.59,2.61,0.39,0.4,0.69,3.62
5,706,577,1.0,0.44,0.29,6.27,1.27,0.82,0.91,0.98,1.52
6,690,450,1.0,0.66,0.32,9.9,1.71,0.72,0.76,0.99,2.11
7,783,453,1.0,0.48,0.26,6.31,1.31,0.79,0.84,0.98,1.86
8,586,790,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1015,392,1.0,0.61,0.25,7.92,1.59,0.67,0.68,0.97,2.42
10,1101,570,1.0,0.71,0.29,10.34,1.84,0.65,0.67,0.91,2.45
11,1067,604,1.0,0.5,0.3,7.22,1.4,0.79,0.86,0.95,1.69
12,664,416,1.0,0.6,0.32,9.37,1.61,0.77,0.83,0.99,1.88
13,945,766,1.0,0.7,0.25,9.17,1.79,0.61,0.61,0.92,2.79
14,769,358,1.0,0.58,0.23,7.15,1.5,0.68,0.69,0.98,2.51
15,858,771,1.0,0.4,0.27,5.07,1.13,0.84,0.9,1.0,1.52
16,1134,541,1.0,0.63,0.3,9.2,1.63,0.74,0.77,1.0,2.09
17,801,504,1.0,0.72,0.3,10.24,1.81,0.67,0.68,0.98,2.43
18,935,467,1.0,0.67,0.3,9.85,1.72,0.71,0.73,0.99,2.28
19,327,574,1.0,0.68,0.31,10.32,1.75,0.71,0.74,0.98,2.19
20,397,623,1.0,0.51,0.26,6.66,1.36,0.77,0.79,0.98,1.98
21,719,1018,1.0,0.82,0.36,12.73,2.08,0.63,0.66,0.91,2.3
22,293,639,1.0,0.71,0.27,10.17,1.77,0.69,0.66,0.96,2.61
23,244,636,1.0,0.73,0.29,10.53,1.83,0.67,0.68,0.95,2.51
24,1219,825,2.0,1.0,0.31,15.14,2.37,0.57,0.55,0.98,3.27
25,1044,777,1.0,0.56,0.26,7.19,1.45,0.73,0.76,0.99,2.18
26,1059,442,1.0,0.42,0.32,6.31,1.26,0.85,0.94,0.97,1.33
27,1229,1111,2.0,0.94,0.31,13.41,2.56,0.44,0.49,0.79,3.05
28,512,455,1.0,0.64,0.3,9.54,1.67,0.73,0.76,0.98,2.1
29,1076,402,1.0,0.69,0.33,10.68,1.77,0.73,0.76,0.99,2.12
30,590,472,1.0,0.64,0.3,9.69,1.68,0.73,0.75,0.97,2.14
31,725,311,1.0,0.63,0.24,7.59,1.62,0.62,0.62,0.95,2.62
32,197,644,1.0,0.49,0.22,5.75,1.27,0.76,0.77,0.99,2.22
33,586,1189,1.0,0.54,0.26,7.42,1.43,0.77,0.8,1.0,2.05
34,678,250,1.0,0.53,0.21,6.05,1.45,0.61,0.66,0.93,2.57
35,225,767,1.0,0.65,0.26,8.98,1.68,0.68,0.69,0.98,2.49
36,390,199,1.0,0.6,0.25,8.14,1.55,0.72,0.74,0.98,2.36
37,742,537,1.0,0.27,0.24,3.0,0.84,0.9,0.99,1.0,1.15
38,1224,903,2.0,1.4,0.27,19.81,3.3,0.39,0.34,0.91,5.13
39,1397,376,1.0,0.74,0.28,10.29,1.85,0.64,0.64,0.97,2.62
40,932,206,1.0,0.66,0.29,9.51,1.67,0.72,0.74,0.98,2.3
41,1453,308,1.0,0.67,0.25,8.53,1.69,0.64,0.64,0.98,2.67
