ID,X,Y,No.Grains,Length,Width,Area,Primeter,Circularity,Compactness,Ellipticity,AR
0,397,492,1.0,0.52,0.27,7.81,1.36,0.78,0.81,0.99,1.94
1,1147,689,1.0,0.44,0.27,6.4,1.19,0.83,0.89,1.0,1.66
2,1034,615,1.0,0.4,0.25,5.76,1.13,0.83,0.89,0.99,1.61
3,1376,571,1.0,0.26,0.21,3.09,0.79,0.92,0.98,1.0,1.28
4,2030,346,1.0,0.49,0.23,7.04,1.31,0.76,0.79,0.98,2.09
5,1155,1467,1.0,0.44,0.25,6.34,1.21,0.8,0.85,0.99,1.77
6,1167,337,1.0,0.49,0.25,6.85,1.27,0.79,0.81,1.0,1.95
7,829,1156,2.0,1.06,0.3,17.87,2.69,0.46,0.44,0.78,3.58
8,957,744,2.0,0.94,0.3,15.28,2.37,0.5,0.51,0.83,3.09
9,1060,244,3.0,1.22,0.27,19.16,3.01,0.39,0.36,0.75,4.62
10,1013,562,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1126,749,1.0,0.44,0.25,6.37,1.21,0.8,0.85,0.98,1.73
12,1225,861,4.0,1.49,0.38,26.76,3.69,0.36,0.39,0.68,3.91
13,1510,1607,1.0,0.47,0.24,6.44,1.23,0.79,0.81,0.99,2.0
14,1110,1771,1.0,0.6,0.27,9.65,1.57,0.73,0.74,0.97,2.28
15,1507,822,1.0,0.3,0.24,3.75,0.88,0.89,0.96,0.99,1.26
16,2003,378,1.0,0.52,0.25,7.78,1.39,0.74,0.79,0.99,2.07
17,1502,1382,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1118,1653,3.0,1.39,0.39,23.79,3.48,0.36,0.36,0.68,3.55
19,1587,1094,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1136,524,3.0,1.49,0.3,24.75,3.65,0.34,0.32,0.76,5.02
21,1504,674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,932,1579,1.0,0.57,0.31,9.97,1.51,0.81,0.83,0.99,1.84
23,1080,844,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,346,1638,1.0,0.27,0.22,3.37,0.82,0.93,0.99,1.0,1.2
25,1291,1249,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1152,1526,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2006,1367,1.0,0.52,0.39,10.66,1.52,0.85,0.94,0.98,1.35
28,835,1212,1.0,0.53,0.25,7.9,1.36,0.79,0.8,1.0,2.11
29,358,1270,1.0,0.54,0.25,8.09,1.41,0.76,0.76,0.99,2.15
30,1595,1139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1290,426,1.0,0.49,0.27,7.38,1.29,0.82,0.84,1.0,1.83
32,1494,737,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,180,1280,3.0,1.56,0.31,29.32,3.57,0.43,0.38,0.93,5.03
34,1461,1721,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2096,1416,1.0,0.51,0.24,7.1,1.34,0.73,0.75,0.98,2.15
36,1311,1486,3.0,1.54,0.28,25.75,3.66,0.36,0.32,0.87,5.52
37,863,1226,1.0,0.46,0.25,6.84,1.27,0.78,0.83,0.98,1.84
38,700,1529,3.0,1.3,0.25,18.62,3.26,0.32,0.31,0.7,5.22
39,741,914,3.0,1.23,0.29,19.72,2.94,0.42,0.39,0.81,4.31
40,1995,568,1.0,0.59,0.3,9.91,1.55,0.77,0.81,0.99,1.98
41,661,1327,1.0,0.45,0.24,6.43,1.25,0.77,0.83,0.98,1.89
42,1019,521,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2087,456,1.0,0.53,0.28,8.56,1.4,0.8,0.83,0.99,1.9
44,602,833,3.0,1.47,0.32,25.71,3.71,0.34,0.33,0.64,4.53
45,786,940,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1984,1515,1.0,0.49,0.22,6.97,1.32,0.74,0.76,0.97,2.18
47,1090,1724,2.0,0.59,0.38,12.69,1.68,0.83,0.92,0.99,1.54
48,1107,1849,1.0,0.65,0.27,10.03,1.64,0.69,0.71,0.97,2.43
49,2088,392,1.0,0.56,0.29,9.47,1.49,0.79,0.82,0.99,1.94
50,863,1257,1.0,0.43,0.25,6.07,1.18,0.8,0.85,0.98,1.72
51,1298,1411,2.0,0.92,0.27,14.93,2.3,0.52,0.5,0.86,3.48
52,1946,1593,1.0,0.51,0.25,7.57,1.36,0.76,0.79,0.98,2.03
53,1362,1368,1.0,0.51,0.27,8.04,1.36,0.8,0.83,0.99,1.88
