file_name,Sp_nb,Sp_length,Sp_width,Sp_area,Sp_primeter,Sp_circularity,Sp_compactness, Sp_ellipticity, Sp_AR
CG14.1.1,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.1.2,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.1.3,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.10.1,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.10.2,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.10.3,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.2.1,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.2.2,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.2.3,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.3.1,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.3.2,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.3.3,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.4.1,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.4.2,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.4.3,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.5.1,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.5.2,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.5.3,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.6.1,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.6.2,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.6.3,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.7.2,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.7.3,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.8.1,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.8.2,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.8.3,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.9.1,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.9.2,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG14.9.3,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
