file_name,PA_length,PA_diameter,Node_nb,SA_nb,SA_average,SA_int,TA_nb,TA_average,TA_int,QA_nb,Sp_nb
CG14.1.1,18.28,0.18,12,13.0,12.01,1.52,14.0,1.08,5.41,0.0,150
CG14.1.2,15.37,0.32,10,11.0,11.89,1.54,5.0,0.45,4.26,0.0,117
CG14.1.3,13.01,0.18,10,11.0,12.33,1.3,12.0,1.09,4.93,0.0,95
CG14.10.1,8.57,0.28,9,10.0,9.34,0.95,9.0,0.9,6.15,0.0,85
CG14.10.2,15.81,0.26,10,11.0,13.17,1.58,9.0,0.82,4.88,0.0,99
CG14.10.3,18.24,0.22,12,13.0,8.92,1.52,9.0,0.69,3.64,0.0,104
CG14.2.1,17.4,0.24,10,11.0,10.91,1.74,3.0,0.27,6.59,0.0,81
CG14.2.2,22.48,0.24,16,17.0,10.6,1.41,9.0,0.53,7.44,0.0,139
CG14.2.3,16.61,0.32,12,13.0,11.59,1.38,11.0,0.85,5.29,0.0,131
CG14.3.1,19.5,0.18,14,15.0,9.92,1.39,8.0,0.53,5.82,0.0,122
CG14.3.2,14.3,0.36,13,13.0,8.67,1.19,2.0,0.15,5.88,0.0,97
CG14.3.3,18.71,0.22,15,16.0,7.61,1.25,0.0,0.0,-0.0,0.0,90
CG14.4.1,17.98,0.18,12,13.0,10.19,1.5,0.0,0.0,-0.0,0.0,104
CG14.4.2,15.09,0.24,12,13.0,10.98,1.26,4.0,0.31,2.71,0.0,110
CG14.4.3,15.7,0.26,10,12.0,11.04,1.43,3.0,0.25,4.13,0.0,110
CG14.5.1,18.55,0.18,12,12.0,15.08,1.68,6.0,0.5,7.29,0.0,119
CG14.5.2,10.27,0.3,8,9.0,10.42,1.28,3.0,0.33,3.54,0.0,84
CG14.5.3,10.98,0.34,10,11.0,10.99,1.1,8.0,0.73,4.61,0.0,107
CG14.6.1,16.37,0.2,15,16.0,11.04,1.09,2.0,0.13,4.85,0.0,152
CG14.6.2,9.81,0.32,12,13.0,10.5,0.82,1.0,0.08,9.223372036854776E16,0.0,108
CG14.6.3,13.09,0.3,11,12.0,10.8,1.19,0.0,0.0,-0.0,0.0,95
CG14.7.2,12.1,0.24,10,11.0,11.18,1.21,9.0,0.82,3.8,0.0,109
CG14.7.3,7.46,0.2,9,10.0,11.94,0.83,5.0,0.5,5.38,0.0,92
CG14.8.1,6.47,0.22,6,7.0,9.35,1.08,0.0,0.0,-0.0,0.0,51
CG14.8.2,16.47,0.24,11,12.0,9.96,1.5,1.0,0.08,9.223372036854776E16,0.0,86
CG14.8.3,16.17,0.32,10,11.0,9.57,1.62,9.0,0.82,3.5,0.0,104
CG14.9.1,14.94,0.46,11,13.0,12.63,1.25,7.0,0.54,5.54,0.0,122
CG14.9.2,12.09,0.3,10,11.0,13.76,1.21,2.0,0.18,13.18,0.0,111
CG14.9.3,9.36,0.34,8,9.0,13.76,1.17,5.0,0.56,6.02,0.0,88
