ID,X,Y,No.Grains,Length,Width,Area,Primeter,Circularity,Compactness,Ellipticity,AR
0,548,957,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,700,861,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1939,1747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1778,745,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,534,456,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,227,1005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,789,875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,141,1027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1301,1691,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1421,731,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,412,651,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2083,1147,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1818,1477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1052,1332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1996,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1710,692,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1811,1264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,466,986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1966,64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2157,1081,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1205,186,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1347,328,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1539,1387,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2091,394,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,385,974,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,787,1714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,851,1619,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
