file_name,PA_length,PA_diameter,Node_nb,SA_nb,SA_average,SA_int,TA_nb,TA_average,TA_int,QA_nb,Sp_nb,SA,SA_length,node,TA_nb,Sp_nb,SA_int,TA,TA_length,QA_nb,Sp_nb,TA_int,QA,QA_length,Sp_nb,QA_int
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA1,5.06,1,3,0,0,SA1_TA1,0.74,0,3,0.83,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA1,5.06,1,3,0,0,SA1_TA2,1.13,0,3,1.11,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA1,5.06,1,3,0,0,SA1_TA3,0.91,0,2,1.96,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA2,4.75,2,4,6,2.31,SA2_TA1,0.66,0,5,0.38,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA2,4.75,2,4,6,2.31,SA2_TA2,0.88,0,3,0.5,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA2,4.75,2,4,6,2.31,SA2_TA3,0.87,0,3,1.2,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA2,4.75,2,4,6,2.31,SA2_TA4,0.75,0,2,1.83,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA3,3.87,3,3,5,1.39,SA3_TA1,0.65,0,2,0.43,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA3,3.87,3,3,5,1.39,SA3_TA2,0.74,0,2,1.11,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA3,3.87,3,3,5,1.39,SA3_TA3,0.73,0,2,1.72,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA4,5.16,4,3,16,0.39,SA4_TA1,0.84,0,3,0.67,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA4,5.16,4,3,16,0.39,SA4_TA2,1.2,0,4,1.33,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA4,5.16,4,3,16,0.39,SA4_TA3,0.99,0,3,2.32,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA5,4.69,5,4,4,0.07,SA5_TA1,1.08,0,4,0.43,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA5,4.69,5,4,4,0.07,SA5_TA2,0.92,0,3,1.02,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA5,4.69,5,4,4,0.07,SA5_TA3,0.93,0,3,1.62,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA5,4.69,5,4,4,0.07,SA5_TA4,0.71,0,2,2.23,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA6,3.5,6,3,13,2.41,SA6_TA1,0.95,0,4,0.31,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA6,3.5,6,3,13,2.41,SA6_TA2,0.72,0,3,0.82,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA6,3.5,6,3,13,2.41,SA6_TA3,0.74,0,2,1.42,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA7,4.02,7,3,3,0.06,SA7_TA1,0.91,0,4,0.57,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA7,4.02,7,3,3,0.06,SA7_TA2,0.87,0,3,1.17,NV,NV,NV,NV
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158,SA7,4.02,7,3,3,0.06,SA7_TA3,1.22,0,3,1.55,NV,NV,NV,NV
