file_name,Sp_nb,Sp_length,Sp_width,Sp_area,Sp_primeter,Sp_circularity,Sp_compactness, Sp_ellipticity, Sp_AR
CRL1_1_1 copie,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRL1_1_2 copie,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRL1_1_3 copie,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRL1_2_1 copie,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRL1_2_2 copie,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRL1_2_3 copie,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRL1_4_1 copie,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRL1_4_2 copie,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRL1_5_1 copie,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRL1_5_2 copie,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRL1_5_3 copie,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRL1_7_1 copie,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRL1_7_2 copie,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRL1_7_3 copie,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRL1_9_1 copie,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRL1_9_2 copie,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRL1_9_3 copie,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC65_1_1 copie,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC65_1_2 copie,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC65_1_3 copie,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC65_2_1 copie,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC65_2_2 copie,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC65_2_3 copie,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC65_4_1 copie,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC65_4_2 copie,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC65_4_3 copie,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC65_5_1 copie,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC65_5_2 copie,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC65_5_3 copie,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC65_6_1 copie,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC65_6_2 copie,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC65_6_3 copie,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC65_8_1 copie,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC65_8_2 copie,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC65_8_3 copie,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
