file_name,PA_length,PA_diameter,Node_nb,SA_nb,SA_average,SA_int,TA_nb,TA_average,TA_int,QA_nb,Sp_nb
CRL1_1_1 copie,10.17,0.12,11,11.0,3.91,1.02,30.0,2.73,1.14,0.0,158
CRL1_1_2 copie,9.08,0.1,11,11.0,3.31,0.91,22.0,2.0,0.8,0.0,129
CRL1_1_3 copie,10.11,0.1,12,12.0,3.36,0.92,19.0,1.58,0.73,0.0,122
CRL1_2_1 copie,6.84,0.08,10,11.0,3.2,0.68,14.0,1.27,1.22,0.0,111
CRL1_2_2 copie,6.03,0.08,9,10.0,2.94,0.67,17.0,1.7,1.02,0.0,99
CRL1_2_3 copie,5.34,0.04,8,8.0,2.72,0.76,7.0,0.88,0.8,0.0,68
CRL1_4_1 copie,6.84,0.1,10,11.0,3.13,0.68,17.0,1.55,1.09,0.0,103
CRL1_4_2 copie,7.88,0.12,7,7.0,2.89,1.31,4.0,0.57,0.77,0.0,49
CRL1_5_1 copie,6.52,0.08,11,12.0,3.33,0.59,24.0,2.0,0.93,0.0,147
CRL1_5_2 copie,8.67,0.06,10,11.0,3.59,0.87,30.0,2.73,0.98,0.0,155
CRL1_5_3 copie,6.51,0.1,9,9.0,3.1,0.81,14.0,1.56,0.7,0.0,90
CRL1_7_1 copie,7.27,0.16,11,11.0,2.9,0.73,13.0,1.18,0.8,0.0,95
CRL1_7_2 copie,8.82,0.06,10,10.0,3.28,0.98,15.0,1.5,0.91,0.0,103
CRL1_7_3 copie,4.5,0.08,8,8.0,2.57,0.64,6.0,0.75,0.9,0.0,59
CRL1_9_1 copie,9.85,0.12,13,13.0,3.06,0.82,21.0,1.62,0.91,0.0,135
CRL1_9_2 copie,6.0,0.1,10,10.0,2.73,0.67,14.0,1.4,0.68,0.0,94
CRL1_9_3 copie,4.06,0.08,7,7.0,2.36,0.68,6.0,0.86,0.73,0.0,52
TC65_1_1 copie,8.32,0.08,11,12.0,3.59,0.75,14.0,1.17,0.96,0.0,121
TC65_1_2 copie,8.86,0.06,12,12.0,3.71,0.81,25.0,2.08,0.91,0.0,154
TC65_1_3 copie,7.4,0.12,10,10.0,3.74,0.82,17.0,1.7,0.92,0.0,115
TC65_2_1 copie,10.14,0.14,13,13.0,3.67,0.85,24.0,1.85,1.12,0.0,146
TC65_2_2 copie,10.65,0.12,13,13.0,4.09,0.89,28.0,2.15,1.18,0.0,168
TC65_2_3 copie,7.25,0.1,11,12.0,3.82,0.66,29.0,2.42,1.32,0.0,171
TC65_4_1 copie,9.47,0.12,11,12.0,4.28,0.86,30.0,2.5,1.24,0.0,181
TC65_4_2 copie,7.48,0.08,10,11.0,4.12,0.75,29.0,2.64,1.71,0.0,163
TC65_4_3 copie,10.91,0.06,13,13.0,3.91,0.91,24.0,1.85,1.19,0.0,156
TC65_5_1 copie,7.04,0.06,11,12.0,3.24,0.64,16.0,1.33,1.01,0.0,107
TC65_5_2 copie,6.67,0.12,9,10.0,3.8,0.74,19.0,1.9,1.09,0.0,121
TC65_5_3 copie,9.03,0.08,11,12.0,3.48,0.82,18.0,1.5,0.95,0.0,121
TC65_6_1 copie,9.51,0.1,12,13.0,3.51,0.79,19.0,1.46,1.2,0.0,133
TC65_6_2 copie,9.96,0.06,12,13.0,3.7,0.83,28.0,2.15,1.06,0.0,156
TC65_6_3 copie,8.96,0.04,12,12.0,3.33,0.81,14.0,1.17,0.95,0.0,115
TC65_8_1 copie,9.8,0.1,12,13.0,3.48,0.82,17.0,1.31,0.95,0.0,132
TC65_8_2 copie,10.56,0.14,13,13.0,3.48,0.88,18.0,1.38,0.94,0.0,131
TC65_8_3 copie,6.66,0.1,10,11.0,3.37,0.67,14.0,1.27,1.06,0.0,110
