ID,X,Y,No.Grains,Length,Width,Area,Primeter,Circularity,Compactness,Ellipticity,AR
0,1169,517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1192,1081,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1828,273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,140,563,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1755,649,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1117,458,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1257,866,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,560,436,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,737,725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1436,638,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,945,407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,469,403,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,814,946,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1260,808,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,223,562,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,810,1011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1481,236,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,641,262,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1509,185,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,805,441,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,310,553,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1640,841,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1402,529,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1071,202,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1265,643,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1233,573,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1131,407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,542,868,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1217,960,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1269,774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,383,550,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1074,160,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,799,371,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,192,597,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,919,851,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1169,1125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1137,293,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,918,883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,792,1062,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1113,220,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,922,568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,902,591,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,939,484,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1730,557,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
