ID,X,Y,No.Grains,Length,Width,Area,Primeter,Circularity,Compactness,Ellipticity,AR
0,2317,1930,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,437,1375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,519,1335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,358,1041,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2459,405,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,626,1266,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2057,1479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1585,1668,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2767,636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2790,360,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2168,1228,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1678,1189,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1957,1657,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2515,750,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1524,1032,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1730,1209,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1900,1689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1297,446,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,562,1309,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1491,996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2135,777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1687,942,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1971,1848,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1074,1671,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1691,1278,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2336,1868,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1237,1374,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1196,1171,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1227,1327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,141,1073,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2467,1250,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1236,1224,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2438,1661,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1643,1419,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1730,905,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1965,1743,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1149,943,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2177,1142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1320,497,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2795,301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2462,1379,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,324,756,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1646,852,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1650,916,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2051,1147,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2442,1612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1721,1157,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1443,845,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1253,962,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,530,873,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1201,1211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2101,1234,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,846,1152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,363,766,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
